Process	Genes
activation of Rac GTPase activity	ARHGAP24 ARHGEF16 DOCK7 ECT2 EPHA2 PIP5K1A PTK2B RASGRF1 RHOG SCRIB
activation of Ras GTPase activity	AKT2 ARHGAP24 ARHGEF16 BCAS3 CCL21 CCR7 CEP152 CXCL13 DOCK7 ECT2 EPHA1 EPHA2 FOXJ1 GPR65 NDEL1 NTF3 NTRK3 PIP5K1A PTK2B RALGAPA1 RALGAPA2 RALGAPB RASGRF1 RASGRP1 RHOG SCRIB SIPA1L1 SYDE1 SYDE2 TAX1BP3 TBC1D7 TSC1
activation of Rho GTPase activity	ARHGAP24 ARHGEF16 BCAS3 CCL21 CCR7 CEP152 DOCK7 ECT2 EPHA1 EPHA2 FOXJ1 GPR65 NDEL1 PIP5K1A PTK2B RASGRF1 RASGRP1 RHOG SCRIB SYDE1 SYDE2 TAX1BP3 TBC1D7 TSC1
anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC5 ANAPC7 APC AURKA AURKB BTRC BUB1B BUB3 CCNB1 CDC16 CDC20 CDC23 CDC26 CDC27 CDK1 CDK2 CIT CUL1 FBXO5 FZR1 MAD2L1 PLK1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSME4 PSMF1 PTTG1 RPS27A SKP1 SKP2 UBA52 UBB UBC UBE2C UBE2D1 UBE2E1 UBE2S
anterograde axon cargo transport	AP3B1 AP3B2 AP3D1 AP3M1 AP3M2 AP3S1 AP3S2 BLOC1S1 BLOC1S2 BLOC1S3 BLOC1S4 BLOC1S5 BLOC1S6 DTNBP1 HAP1 K7ELZ0 KIF1A KIF1B KIF3B KIF4A MGARP NEFL SNAPIN SOD1 SPG7
ATP catabolic process	ABCA1 ABCA10 ABCA11P ABCA12 ABCA13 ABCA2 ABCA3 ABCA4 ABCA5 ABCA6 ABCA7 ABCA8 ABCA9 ABCB1 ABCB10 ABCB11 ABCB4 ABCB5 ABCB6 ABCB7 ABCB8 ABCB9 ABCC1 ABCC10 ABCC11 ABCC12 ABCC2 ABCC3 ABCC4 ABCC5 ABCC6 ABCC8 ABCC9 ABCD1 ABCD2 ABCD3 ABCD4 ABCE1 ABCF1 ABCF2 ABCF3 ABCG1 ABCG2 ABCG4 ABCG5 ABCG8 ACIN1 ACLY ACTC1 AK6 ASNA1 ATAD1 ATAD2 ATF7IP ATP13A1 ATP13A2 ATP13A3 ATP13A4 ATP13A5 ATP2A1 ATP2B2 ATP5A1 ATP5B ATP5C1 ATP5D ATP5E ATP5F1 ATP5H ATP5I ATP5J ATP5J2 ATP5L ATP5O ATP6V1F ATP6V1H ATRX BLM BPTF BRIP1 CARNS1 CCNH CCT8 CDK7 CENPE CETN1 CETN2 CFTR CHD1L CHD3 CHD4 CHD5 CHD6 CHD8 CLPX CRBN DDX1 DDX10 DDX11 DDX11L8 DDX12P DDX17 DDX18 DDX20 DDX21 DDX23 DDX24 DDX25 DDX27 DDX31 DDX39B DDX3X DDX3Y DDX4 DDX42 DDX43 DDX46 DDX47 DDX49 DDX5 DDX51 DDX53 DDX54 DDX55 DDX56 DDX6 DHX15 DHX16 DHX29 DHX30 DHX33 DHX35 DHX36 DHX38 DHX40 DHX57 DHX8 DHX9 DKFZP686K07118 DMC1 DNA2 DNAH1 DNAH10 DNAH11 DNAH12 DNAH17 DNAH2 DNAH5 DNAH6 DNAH7 DNAH8 DNAH9 DYNC1H1 DYNC2H1 E7ENX8 EIF4A1 EIF4A2 EIF4A3 ENPP1 ENTPD1 ERCC2 ERCC3 ERCC6 ERCC6L2 G3BP1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 GTF2H4 HCG_2039718 HLTF HSP90AA1 HSPA1A HSPA5 HSPA6 HSPA8 HSPD1 IDE IGHMBP2 INO80 K7EIL6 K7EQU8 KATNA1 KATNAL1 KATNAL2 KATNB1 KIF11 KIF12 KIF13A KIF14 KIF15 KIF16B KIF17 KIF18A KIF18B KIF19 KIF1A KIF1B KIF1C KIF20A KIF20B KIF21A KIF21B KIF22 KIF23 KIF24 KIF25 KIF27 KIF2A KIF2B KIF2C KIF3A KIF3B KIF3C KIF4A KIF4B KIF5A KIF5B KIF5C KIF6 KIF7 KIF9 KIFC1 KIFC2 KIFC3 LONP1 LONP2 LONRF1 LONRF2 LONRF3 MACF1 MDN1 MLH1 MLH3 MNAT1 MOV10L1 MSH2 MSH3 MSH4 MSH5 MSH6 MT-ATP6 MT-ATP8 MYH10 MYH14 MYH3 MYH4 MYH6 MYH7 MYH8 MYH9 MYL6 MYO10 MYO1D MYO1E MYO3A MYO7A MYO9B NSF NUDT1 OLA1 PEX1 PEX6 PICK1 PIF1 PMS1 PMS2 POLQ PPP2R4 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD6 RAD51 RAD51B RAD51C RAD51D RAD51L3 RAD54B RALBP1 RBBP4 RECQL RECQL4 RECQL5 RFC1 RFC3 RHOBTB3 RNF213 RTEL1 RTEL1-TNFRSF6B RUVBL2 SKIV2L SMARCA1 SMARCA2 SMARCA4 SMARCA5 SMARCAL1 SNRNP200 SPAST STARD9 SUPV3L1 SWSAP1 TAP1 TAP2 TNNT2 TNNT3 TOP1 TOP1MT TOP2A TOP2B TOR1A TOR1B TOR3A TTF2 UPF1 VCP VPS4A VPS4B VWA8 WRN WRNIP1 XRCC2 XRCC3 YTHDC2
autophagic vacuole assembly	ATG101 ATG12 ATG13 ATG14 ATG16L1 ATG2A ATG2B ATG3 ATG4B ATG4C ATG5 ATG9A ATG9B BECN1 CTSD EMC6 MAP1LC3A PACS2 PIK3C3 PSEN1 RAB1A RAB23 RB1CC1 TP53INP2 ULK1 ULK2 ULK3 WIPI2
autophagic vacuole fusion	CLN3 SNAP29 STX17 TECPR1 VAMP7 VAMP8 VTI1B WIPI2
axon cargo transport	AP3B1 AP3B2 AP3D1 AP3M1 AP3M2 AP3S1 AP3S2 APBA1 APP BLOC1S1 BLOC1S2 BLOC1S3 BLOC1S4 BLOC1S5 BLOC1S6 CNTNAP1 DST DTNBP1 HAP1 HIF1A HTT K7ELZ0 KIF1A KIF1B KIF3B KIF4A KLC2 KLC3 MAPT MGARP NDEL1 NEFL NEFM OPA1 PAFAH1B1 SNAPIN SOD1 SPG7 UCHL1 UGT8
calcium ion-dependent exocytosis	ACR AKAP3 CACNA1A CACNA1C CHP1 E9PQ18 EQTN GLRA1 GLRB PCSK4 PKDREJ PLCD4 PPP3CB RAPGEF4 RIMS1 RIMS2 RIMS3 ROPN1B SCIN SDF4 SPESP1 STX1A STX2 SYT3 SYT5 SYT6 SYT8 TNP2 TRIM36 VAMP2 VAMP3 VAMP7 ZP4
