MBCGO	JI
PI3 kinase AKT signaling cascade::protein kinase B signaling	0.07142857142857142
MAPK signaling cascade::MAPK cascade	0.1348314606741573
Erk signaling pathway::ERK1 and ERK2 cascade	0.08333333333333333
Erk signaling pathway::regulation of ERK1 and ERK2 cascade	0.005952380952380952
SAPK-JNK signaling cascade::JNK cascade	0.11666666666666667
SAPK-JNK signaling cascade::regulation of JNK cascade	0.03896103896103896
Nitric oxide signaling cascade::nitric oxide mediated signal transduction	0.15789473684210525
JAK-STAT signaling cascade::JAK-STAT cascade	0.22916666666666666
NFkB signaling cascade::I-kappaB kinase/NF-kappaB signaling	0.020833333333333332
Calcineurin-NFAT signaling cascade::regulation of calcineurin-NFAT signaling cascade	0.05
Protein kinase C signaling cascade::protein kinase C signaling	0.0
Mammalian target of rapamycin signaling cascade::TOR signaling	0.20689655172413793
Insulin receptor signaling::insulin receptor signaling pathway	0.0718954248366013
Peroxisome proliferator-activated receptor alpha signaling::peroxisome proliferator activated receptor signaling pathway	0.0
Peroxisome proliferator-activated receptor gamma signaling::peroxisome proliferator activated receptor signaling pathway	0.0
Thyroid hormone receptor signaling::thyroid hormone mediated signaling pathway	0.0
Calcitonin receptor signaling::calcitonin family receptor signaling pathway	0.0
Steroid and sex hormone signaling::intracellular steroid hormone receptor signaling pathway	0.12631578947368421
Steroid and sex hormone signaling::regulation of intracellular steroid hormone receptor signaling pathway	0.03571428571428571
Estrogen receptor signaling::intracellular estrogen receptor signaling pathway	0.08
Estrogen receptor signaling::regulation of intracellular estrogen receptor signaling pathway	0.0
Progesterone receptor signaling::progesterone receptor signaling pathway	0.0
Androgen receptor signaling::androgen receptor signaling pathway	0.06521739130434782
Androgen receptor signaling::regulation of androgen receptor signaling pathway	0.03571428571428571
Glucocorticoid receptor signaling::glucocorticoid receptor signaling pathway	0.07692307692307693
Alpha 1 adrenergic receptor signaling::adrenergic receptor signaling pathway	0.0
Alpha 2 adrenergic receptor signaling::adrenergic receptor signaling pathway	0.0625
Beta adrenergic receptor signaling::adrenergic receptor signaling pathway	0.10714285714285714
Purinergic P1 receptor signaling::purinergic receptor signaling pathway	0.16
Purinergic P2X receptor signaling::purinergic receptor signaling pathway	0.28
Purinergic P2Y receptor signaling::purinergic receptor signaling pathway	0.32
TNF superfamily signaling::tumor necrosis factor-mediated signaling pathway	0.14285714285714285
Tumor necrosis factor alpha receptor signaling::tumor necrosis factor-mediated signaling pathway	0.034482758620689655
Somatostatin receptor signaling::somatostatin receptor signaling pathway	0.0
Nerve growth factor receptor signaling::nerve growth factor signaling pathway	0.08333333333333333
Roundabout signaling::Roundabout signaling pathway	0.0
Semaphorin signaling::semaphorin-plexin signaling pathway	0.3902439024390244
Thromboxane receptor signaling::thromboxane A2 signaling pathway	0.0
Bone morphogenetic protein receptor signaling::BMP signaling pathway	0.21794871794871795
Transforming growth factor beta receptor signaling::transforming growth factor beta receptor signaling pathway	0.058394160583941604
Transforming growth factor beta receptor signaling::regulation of transforming growth factor beta receptor signaling pathway	0.07547169811320754
Activin receptor signaling::activin receptor signaling pathway	0.25925925925925924
Activin receptor signaling::regulation of activin receptor signaling pathway	0.2
Toll-like receptor signaling::toll-like receptor signaling pathway	0.12698412698412698
Toll-like receptor 1 signaling::toll-like receptor 1 signaling pathway	0.0
Toll-like receptor 2 signaling::toll-like receptor 2 signaling pathway	0.013513513513513514
Toll-like receptor 3 signaling::toll-like receptor 3 signaling pathway	0.0375
Toll-like receptor 4 signaling::toll-like receptor 4 signaling pathway	0.030927835051546393
Toll-like receptor 5 signaling::toll-like receptor 5 signaling pathway	0.015384615384615385
Toll-like receptor 6 signaling::toll-like receptor 6 signaling pathway	0.0
Toll-like receptor 7 signaling::toll-like receptor 7 signaling pathway	0.0
Toll-like receptor 8 signaling::toll-like receptor 8 signaling pathway	0.0
Toll-like receptor 9 signaling::toll-like receptor 9 signaling pathway	0.013513513513513514
Toll-like receptor 12 signaling::toll-like receptor 12 signaling pathway	0.0
Toll-like receptor 13 signaling::toll-like receptor 13 signaling pathway	0.0
Oncostatin-M receptor signaling::oncostatin-M-mediated signaling pathway	0.0
Thrombopoietin receptor signaling::thrombopoietin-mediated signaling pathway	0.0
Epidermal growth factor receptor signaling::epidermal growth factor receptor signaling pathway	0.01809954751131222
Epidermal growth factor receptor signaling::regulation of epidermal growth factor receptor signaling pathway	0.03
Fibroblast growth factor receptor signaling::fibroblast growth factor receptor signaling pathway	0.07317073170731707
Fibroblast growth factor receptor signaling::regulation of fibroblast growth factor receptor signaling pathway	0.024390243902439025
Platelet-derived growth factor receptor signaling::platelet-derived growth factor receptor signaling pathway	0.16666666666666666
Platelet-derived growth factor receptor signaling::regulation of platelet-derived growth factor receptor signaling pathway	0.0
Vascular endothelial growth factor receptor signaling::vascular endothelial growth factor receptor signaling pathway	0.28
WNT-Beta-catenin signaling pathway::Wnt signaling pathway	0.24096385542168675
Ephrin receptor signaling::ephrin receptor signaling pathway	0.29411764705882354
Notch receptor signaling::Notch signaling pathway	0.16666666666666666
Notch receptor signaling::regulation of Notch signaling pathway	0.11764705882352941
Hippo signaling::hippo signaling	0.38461538461538464
Hippo signaling::regulation of hippo signaling	0.12121212121212122
Growth hormone receptor signaling::growth hormone receptor signaling pathway	0.15384615384615385
Retinoic acid receptor signaling::retinoic acid receptor signaling pathway	0.1724137931034483
Retinoic acid receptor signaling::regulation of retinoic acid receptor signaling pathway	0.018518518518518517
Interferon receptor signaling::type I interferon signaling pathway	0.057971014492753624
Interferon gamma receptor signaling::interferon-gamma-mediated signaling pathway	0.10606060606060606
Interferon gamma receptor signaling::regulation of interferon-gamma-mediated signaling pathway	0.23076923076923078
Rhodopsin receptor signaling::rhodopsin mediated signaling pathway	0.09803921568627451
Rhodopsin receptor signaling::regulation of rhodopsin mediated signaling pathway	0.10416666666666667
Interleukin 1 receptor signaling::interleukin-1-mediated signaling pathway	0.22727272727272727
Interleukin 2 receptor signaling::interleukin-2-mediated signaling pathway	0.0
Interleukin 4 receptor signaling::interleukin-4-mediated signaling pathway	0.0
Interleukin 6 receptor signaling::interleukin-6-mediated signaling pathway	0.0
Interleukin 7 receptor signaling::interleukin-7-mediated signaling pathway	0.0
Interleukin 9 receptor signaling::interleukin-9-mediated signaling pathway	0.0
Interleukin 11 receptor signaling::interleukin-11-mediated signaling pathway	0.0
Interleukin 12 receptor signaling::interleukin-12-mediated signaling pathway	0.0
Interleukin 13 receptor signaling::interleukin-13-mediated signaling pathway	0.0
Interleukin 15 receptor signaling::interleukin-15-mediated signaling pathway	0.0
B cell receptor signaling::B cell receptor signaling pathway	0.12345679012345678
B cell receptor signaling::regulation of B cell receptor signaling pathway	0.028985507246376812
T cell receptor signaling::T cell receptor signaling pathway	0.12598425196850394
T cell receptor signaling::regulation of T cell receptor signaling pathway	0.045454545454545456
Fc receptor signaling::Fc receptor signaling pathway	0.010526315789473684
Fc receptor signaling::Fc receptor mediated stimulatory signaling pathway	0.012875536480686695
Control of postsynaptic potential::regulation of postsynaptic membrane potential	0.088
Dopamine-mediated control of postsynaptic potential::regulation of synaptic transmission, dopaminergic	0.15789473684210525
GABA-mediated control of postsynaptic potential::regulation of synaptic transmission, GABAergic	0.0
Glutamate-mediated control of postsynaptic potential::regulation of synaptic transmission, glutamatergic	0.02631578947368421
Acetylcholine-mediated control of postsynaptic potential::synaptic transmission, cholinergic	0.17857142857142858
