Level2ProcessMBCO	JI
Intracellular common signaling cascades of multiple pathways	0.07142857142857142
Intracellular common signaling cascades of multiple pathways	0.1348314606741573
Intracellular common signaling cascades of multiple pathways	0.15789473684210525
Intracellular common signaling cascades of multiple pathways	0.22916666666666666
Intracellular common signaling cascades of multiple pathways	0.020833333333333332
Intracellular common signaling cascades of multiple pathways	0.05
Intracellular common signaling cascades of multiple pathways	0.0
Intracellular common signaling cascades of multiple pathways	0.20689655172413793
Signaling pathways involved in glucose and lipid homeostasis	0.0718954248366013
Signaling pathways involved in glucose and lipid homeostasis	0.0
Signaling pathways involved in glucose and lipid homeostasis	0.0
Thyroid hormone related signaling	0.0
Signaling pathways regulating calcium homeostasis	0.0
Steroid and sex hormone signaling	0.12631578947368421
Steroid and sex hormone signaling	0.03571428571428571
Steroid and sex hormone signaling	0.08
Steroid and sex hormone signaling	0.0
Steroid and sex hormone signaling	0.0
Steroid and sex hormone signaling	0.06521739130434782
Steroid and sex hormone signaling	0.03571428571428571
Steroid and sex hormone signaling	0.07692307692307693
Signaling pathways regulating cardiovascular homeostasis	0.0
Signaling pathways regulating cardiovascular homeostasis	0.0625
Signaling pathways regulating cardiovascular homeostasis	0.10714285714285714
Purinergic signaling	0.16
Purinergic signaling	0.28
Purinergic signaling	0.32
TNF superfamily signaling	0.14285714285714285
TNF superfamily signaling	0.034482758620689655
Neuronal signaling pathways	0.0
Neuronal signaling pathways	0.08333333333333333
Neuronal signaling pathways	0.0
Neuronal signaling pathways	0.3902439024390244
Prostanoid receptor signaling	0.0
TGF-beta superfamily signaling	0.21794871794871795
TGF-beta superfamily signaling	0.058394160583941604
TGF-beta superfamily signaling	0.07547169811320754
TGF-beta superfamily signaling	0.25925925925925924
TGF-beta superfamily signaling	0.2
Pattern recognition signaling	0.12698412698412698
Signaling pathways involved in hematopoiesis	0.0
Signaling pathways involved in hematopoiesis	0.0
Epidermal growth factor family signaling	0.01809954751131222
Epidermal growth factor family signaling	0.03
Signaling pathways that control cell proliferation and differentiation	0.07317073170731707
Signaling pathways that control cell proliferation and differentiation	0.024390243902439025
Signaling pathways that control cell proliferation and differentiation	0.16666666666666666
Signaling pathways that control cell proliferation and differentiation	0.0
Signaling pathways that control cell proliferation and differentiation	0.28
Signaling pathways that control cell proliferation and differentiation	0.24096385542168675
Signaling pathways that control cell proliferation and differentiation	0.29411764705882354
Signaling pathways that control cell proliferation and differentiation	0.16666666666666666
Signaling pathways that control cell proliferation and differentiation	0.11764705882352941
Signaling pathways that control cell proliferation and differentiation	0.38461538461538464
Signaling pathways that control cell proliferation and differentiation	0.12121212121212122
Signaling pathways that control cell proliferation and differentiation	0.15384615384615385
Signaling pathways that control cell proliferation and differentiation	0.1724137931034483
Signaling pathways that control cell proliferation and differentiation	0.018518518518518517
Interferon signaling	0.057971014492753624
Interferon signaling	0.10606060606060606
Interferon signaling	0.23076923076923078
Visual phototransduction	0.09803921568627451
Visual phototransduction	0.10416666666666667
Interleukin receptor signaling	0.22727272727272727
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Interleukin receptor signaling	0.0
Immune receptor Signaling	0.12345679012345678
Immune receptor Signaling	0.028985507246376812
Immune receptor Signaling	0.12598425196850394
Immune receptor Signaling	0.045454545454545456
Immune receptor Signaling	0.010526315789473684
Immune receptor Signaling	0.012875536480686695
Control of postsynaptic potential	0.088
Control of postsynaptic potential	0.15789473684210525
Control of postsynaptic potential	0.0
Control of postsynaptic potential	0.02631578947368421
Control of postsynaptic potential	0.17857142857142858
Control of postsynaptic potential	0.21428571428571427
Cardiomyocyte action potential generation and propagation	0.16666666666666666
Cardiomyocyte action potential generation and propagation	0.06666666666666667
Cardiomyocyte action potential generation and propagation	0.18181818181818182
Cardiomyocyte action potential generation and propagation	0.0
Regulation of synaptic plasticity	0.021739130434782608
Regulation of synaptic plasticity	0.0625
Regulation of synaptic plasticity	0.0
Endoplasmic reticulum and nuclear envelope organization	0.02857142857142857
Mitochondrial dynamics	0.22727272727272727
Mitochondrial dynamics	0.32
Mitochondrial dynamics	0.1875
Mitochondrial dynamics	0.0
Mitochondrial dynamics	0.0
Mitotic cell cycle checkpoints	0.19617224880382775
Mitotic cell cycle checkpoints	0.047619047619047616
Mitotic cell cycle checkpoints	0.07142857142857142
Mitotic cell cycle checkpoints	0.2413793103448276
Mitotic cell cycle checkpoints	0.06779661016949153
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.0
Chromosome segregation by mitotic spindle	0.16216216216216217
Chromosome segregation by mitotic spindle	0.04
Centrosome cycle	0.13114754098360656
Centrosome cycle	0.078125
Centrosome cycle	0.0
Centrosome cycle	0.25
Centrosome cycle	0.0
Centrosome cycle	0.0
Cytokinesis	0.14754098360655737
Cytokinesis	0.0
Cytokinesis	0.0
Cell Scenescence	0.057971014492753624
Cell Scenescence	0.016666666666666666
Eukaryotic DNA replication	0.0
Eukaryotic DNA replication	0.0
Eukaryotic DNA replication	0.14705882352941177
DNA recombination	0.11363636363636363
DNA recombination	0.07446808510638298
DNA recombination	0.14285714285714285
DNA recombination	0.038461538461538464
DNA recombination	0.032520325203252036
DNA single-strand break repair	0.05747126436781609
DNA single-strand break repair	0.2727272727272727
DNA single-strand break repair	0.38181818181818183
DNA single-strand break repair	0.2987012987012987
DNA single-strand break repair	0.0
DNA double-strand break repair	0.27058823529411763
DNA double-strand break repair	0.0
DNA double-strand break repair	0.2608695652173913
DNA double-strand break repair	0.0
DNA double-strand break repair	0.0
DNA interstrand cross-links repair	0.0
Cellular calcium homeostasis	0.09722222222222222
Cellular calcium homeostasis	0.18421052631578946
Cellular calcium homeostasis	0.08421052631578947
Cellular calcium homeostasis	0.2119205298013245
Cellular calcium homeostasis	0.09302325581395349
Cellular calcium homeostasis	0.07407407407407407
Cellular calcium homeostasis	0.02857142857142857
Cellular calcium homeostasis	0.04477611940298507
Cellular potassium homeostasis	0.06666666666666667
