Process	Parent_process
Acetyl-CoA transmembrane transport	Energy generation and metabolism of cellular monomers
Acrosomal Reaction	Cellular processes during fertilization
Actin filament dynamics	Cytoskeleton dynamics
Ammonium metabolism	Amino acid metabolism
Amyloid generation and aggregation	Extracellular matrix homeostasis
Antigen presentation	Intracellular vesicle traffic
Apoptosis	Regulated cell death
Autophagy	Intracellular degradation pathways
Basement membrane dynamics	Extracellular matrix homeostasis
Binding of Spermatoza to the Zona Pellucida	Cellular processes during fertilization
Blood protein dynamics	Coagulation cascade, complement system and blood protein dynamics
Bombesin receptor signaling	Cellular communication
Carbohydrate metabolism and transport	Energy generation and metabolism of cellular monomers
Cardiomyocyte action potential generation and propagation	Electric transmission
Cell Scenescence	Cell cycle and cell division
Cell-cell junction organization	Cell junction dynamics
Cell-matrix adhesion organization	Cell junction dynamics
Cellular antioxidant systems	Cellular redox homeostasis
Cellular calcium homeostasis	Cellular ion homeostasis
Cellular chloride homeostasis	Cellular ion homeostasis
Cellular circadian clock dynamics	Circadian clock dynamics and effects on cell physiology
Cellular copper homeostasis	Cellular ion homeostasis
Cellular magnesium homeostasis	Cellular ion homeostasis
Cellular molybdate homeostasis	Cellular ion homeostasis
Cellular pH homeostasis	Cellular ion homeostasis
Cellular phosphate homeostasis	Cellular ion homeostasis
Cellular potassium homeostasis	Cellular ion homeostasis
Cellular pyrophosphate homeostasis	Cellular ion homeostasis
Cellular response to energy deprivation	Cellular response to stress
Cellular response to hypoxia	Cellular response to stress
Cellular response to oxidative stress	Cellular response to stress
Cellular response to radiation	Cellular response to stress
Cellular sodium homeostasis	Cellular ion homeostasis
Cellular sulfate homeostasis	Cellular ion homeostasis
Cellular water homeostasis	Cellular ion homeostasis
Cellular zinc homeostasis	Cellular ion homeostasis
Centrosome cycle	Cell cycle and cell division
Chromatin remodeling	Chromatin and histone dynamics
Chromosome segregation by mitotic spindle	Cell cycle and cell division
Circadian clock mediated cellular regulation	Circadian clock dynamics and effects on cell physiology
Coagulation cascade and its regulation	Coagulation cascade, complement system and blood protein dynamics
Collagen biosynthesis	Extracellular matrix homeostasis
Complement pathway and regulation	Coagulation cascade, complement system and blood protein dynamics
Control of postsynaptic potential	Electric transmission
Cortical cytoskeleton dynamics	Cytoskeleton dynamics
Cortical Reaction	Cellular processes during fertilization
Cytokinesis	Cell cycle and cell division
Cytoplasmic intermediate filament and septin dynamics	Cytoskeleton dynamics
Cytoplasmic post-translational protein modification	Posttranslational protein modification
