MBCO	GO
PI3 kinase AKT signaling cascade	protein kinase B signaling
TIRAP signaling cascade	TIRAP-dependent toll-like receptor signaling pathway
MyD88 signaling cascade	MyD88-dependent toll-like receptor signaling pathway
MAPK signaling cascade	MAPK cascade
Erk signaling pathway	ERK1 and ERK2 cascade;regulation of ERK1 and ERK2 cascade
SAPK-JNK signaling cascade	JNK cascade;regulation of JNK cascade
Nitric oxide signaling cascade	nitric oxide mediated signal transduction
JAK-STAT signaling cascade	JAK-STAT cascade
NFkB signaling cascade	I-kappaB kinase/NF-kappaB signaling
Calcineurin-NFAT signaling cascade	regulation of calcineurin-NFAT signaling cascade
Protein kinase C signaling cascade	protein kinase C signaling
Mammalian target of rapamycin signaling cascade	TOR signaling
Insulin receptor signaling	insulin receptor signaling pathway
Peroxisome proliferator-activated receptor alpha signaling	peroxisome proliferator activated receptor signaling pathway
Peroxisome proliferator-activated receptor gamma signaling	peroxisome proliferator activated receptor signaling pathway
Thyroid hormone receptor signaling	thyroid hormone mediated signaling pathway
Calcitonin receptor signaling	calcitonin family receptor signaling pathway
Steroid and sex hormone signaling	intracellular steroid hormone receptor signaling pathway;regulation of intracellular steroid hormone receptor signaling pathway
Estrogen receptor signaling	intracellular estrogen receptor signaling pathway;regulation of intracellular estrogen receptor signaling pathway
Progesterone receptor signaling	progesterone receptor signaling pathway
Androgen receptor signaling	androgen receptor signaling pathway;regulation of androgen receptor signaling pathway
Glucocorticoid receptor signaling	glucocorticoid receptor signaling pathway
Alpha 1 adrenergic receptor signaling	adrenergic receptor signaling pathway
Alpha 2 adrenergic receptor signaling	adrenergic receptor signaling pathway
Beta adrenergic receptor signaling	adrenergic receptor signaling pathway
Muscarinic acetylcholine receptor signaling	G-protein coupled acetylcholine receptor signaling pathway
Purinergic P1 receptor signaling	purinergic receptor signaling pathway
Purinergic P2X receptor signaling	purinergic receptor signaling pathway
Purinergic P2Y receptor signaling	purinergic receptor signaling pathway
TNF superfamily signaling	tumor necrosis factor-mediated signaling pathway
Tumor necrosis factor alpha receptor signaling	tumor necrosis factor-mediated signaling pathway
Somatostatin receptor signaling	somatostatin receptor signaling pathway
Nerve growth factor receptor signaling	nerve growth factor signaling pathway
Roundabout signaling	Roundabout signaling pathway
Semaphorin signaling	semaphorin-plexin signaling pathway
Thromboxane receptor signaling	thromboxane A2 signaling pathway
Bone morphogenetic protein receptor signaling	BMP signaling pathway
Transforming growth factor beta receptor signaling	transforming growth factor beta receptor signaling pathway;regulation of transforming growth factor beta receptor signaling pathway
Activin receptor signaling	activin receptor signaling pathway;regulation of activin receptor signaling pathway
Toll-like receptor signaling	toll-like receptor signaling pathway
Toll-like receptor 1 signaling	toll-like receptor 1 signaling pathway
Toll-like receptor 2 signaling	toll-like receptor 2 signaling pathway
Toll-like receptor 3 signaling	toll-like receptor 3 signaling pathway
Toll-like receptor 4 signaling	toll-like receptor 4 signaling pathway
Toll-like receptor 5 signaling	toll-like receptor 5 signaling pathway
Toll-like receptor 6 signaling	toll-like receptor 6 signaling pathway
Toll-like receptor 7 signaling	toll-like receptor 7 signaling pathway
Toll-like receptor 8 signaling	toll-like receptor 8 signaling pathway
Toll-like receptor 9 signaling	toll-like receptor 9 signaling pathway
Toll-like receptor 10 signaling	toll-like receptor 10 signaling pathway
Toll-like receptor 11 signaling	toll-like receptor 11 signaling pathway
Toll-like receptor 12 signaling	toll-like receptor 12 signaling pathway
Toll-like receptor 13 signaling	toll-like receptor 13 signaling pathway
Toll-like receptor 21 signaling	toll-like receptor 21 signaling pathway
Oncostatin-M receptor signaling	oncostatin-M-mediated signaling pathway
Thrombopoietin receptor signaling	thrombopoietin-mediated signaling pathway
Epidermal growth factor receptor signaling	epidermal growth factor receptor signaling pathway;regulation of epidermal growth factor receptor signaling pathway
Fibroblast growth factor receptor signaling	fibroblast growth factor receptor signaling pathway;regulation of fibroblast growth factor receptor signaling pathway
Platelet-derived growth factor receptor signaling	platelet-derived growth factor receptor signaling pathway;regulation of platelet-derived growth factor receptor signaling pathway
Vascular endothelial growth factor receptor signaling	vascular endothelial growth factor receptor signaling pathway
Insulin-like growth factor receptor signaling	insulin-like growth factor receptor signaling pathway;regulation of insulin-like growth factor receptor signaling pathway
WNT-Beta-catenin signaling pathway	Wnt signaling pathway
Ephrin receptor signaling	ephrin receptor signaling pathway
Notch receptor signaling	Notch signaling pathway;regulation of Notch signaling pathway
Hippo signaling	hippo signaling;regulation of hippo signaling
Growth hormone receptor signaling	growth hormone receptor signaling pathway
Retinoic acid receptor signaling	retinoic acid receptor signaling pathway;regulation of retinoic acid receptor signaling pathway
Interferon receptor signaling	type I interferon signaling pathway
Interferon gamma receptor signaling	interferon-gamma-mediated signaling pathway;regulation of interferon-gamma-mediated signaling pathway
Rhodopsin receptor signaling	rhodopsin mediated signaling pathway;regulation of rhodopsin mediated signaling pathway
Interleukin 1 receptor signaling	interleukin-1-mediated signaling pathway
Interleukin 2 receptor signaling	interleukin-2-mediated signaling pathway
Interleukin 3 receptor signaling	interleukin-3-mediated signaling pathway
Interleukin 4 receptor signaling	interleukin-4-mediated signaling pathway
Interleukin 5 receptor signaling	interleukin-5-mediated signaling pathway
Interleukin 6 receptor signaling	interleukin-6-mediated signaling pathway
Interleukin 7 receptor signaling	interleukin-7-mediated signaling pathway
Interleukin 8 receptor signaling	interleukin-8-mediated signaling pathway
Interleukin 9 receptor signaling	interleukin-9-mediated signaling pathway
Interleukin 11 receptor signaling	interleukin-11-mediated signaling pathway
Interleukin 12 receptor signaling	interleukin-12-mediated signaling pathway
Interleukin 13 receptor signaling	interleukin-13-mediated signaling pathway
Interleukin 15 receptor signaling	interleukin-15-mediated signaling pathway
Interleukin 18 receptor signaling	interleukin-18-mediated signaling pathway
Interleukin 21 receptor signaling	interleukin-21-mediated signaling pathway
Interleukin 23 receptor signaling	interleukin-23-mediated signaling pathway
Interleukin 27 receptor signaling	interleukin-27-mediated signaling pathway
Interleukin 33 receptor signaling	interleukin-33-mediated signaling pathway
B cell receptor signaling	B cell receptor signaling pathway;regulation of B cell receptor signaling pathway
T cell receptor signaling	T cell receptor signaling pathway;regulation of T cell receptor signaling pathway
Fc receptor signaling	Fc receptor signaling pathway;Fc receptor mediated stimulatory signaling pathway
Control of postsynaptic potential	regulation of postsynaptic membrane potential
Dopamine-mediated control of postsynaptic potential	regulation of synaptic transmission, dopaminergic
GABA-mediated control of postsynaptic potential	regulation of synaptic transmission, GABAergic
Glutamate-mediated control of postsynaptic potential	regulation of synaptic transmission, glutamatergic
Acetylcholine-mediated control of postsynaptic potential	synaptic transmission, cholinergic
Serotonin-mediated control of postsynaptic potential	serotonin receptor signaling pathway
Cardiomyocyte action potential generation and propagation	cardiac muscle cell action potential
Cardiomyocyte depolarization during action potential	membrane depolarization during cardiac muscle cell action potential
Cardiomyocyte repolarization during action potential and hyperpolarization	membrane repolarization during cardiac muscle cell action potential
Cardiomyocyte pacemaker current generation	SA node cell action potential
Regulation of long-term synaptic plasticity	regulation of long-term neuronal synaptic plasticity
Regulation of short-term synaptic plasticity	regulation of short-term neuronal synaptic plasticity
Regulation of long-term potentiation	long-term synaptic potentiation
Endoplasmic reticulum and nuclear envelope organization	nuclear envelope organization
Structural golgi apparatus organization	Golgi organization
Mitochondrial fusion	mitochondrial fusion
Mitochondrial fission	mitochondrial fission
Mitochondrial transport	mitochondrion transport along microtubule;axon transport of mitochondrion;mitochondrion migration along actin filament
Mitochondrial cristae dynamics	cristae formation
Peroxisomal transport	peroxisome transport along microtubule
Regulation of cell morphogenesis	regulation of cell morphogenesis
Regulation of cell shape	regulation of cell shape
Regulation of cell size	regulation of cell size
Regulation of cell number	homeostasis of number of cells
Regulation of cell volume	cell volume homeostasis
Regulation of cell polarity	establishment or maintenance of cell polarity;regulation of establishment or maintenance of cell polarity
Cell cycle and cell division	cell cycle
Mitotic cell cycle checkpoints	cell cycle checkpoint
Restriction point	mitotic G1/S transition checkpoint
G2 M transition checkpoint	mitotic G2/M transition checkpoint
Metaphase to anaphase checkpoint	mitotic spindle checkpoint
Cell cycle arrest in response to DNA damage	mitotic DNA damage checkpoint
Mitotic spindle assembly	mitotic spindle assembly;mitotic spindle elongation;mitotic spindle stabilization
Mitotic spindle disassembly	mitotic spindle disassembly;mitotic spindle microtubule depolymerization
Eukaryotic kinetochore dynamics	attachment of mitotic spindle microtubules to kinetochore
Sister chromatid cohesion	mitotic sister chromatid cohesion
Sister chromatid segregation	mitotic sister chromatid segregation
